Weight class,Method,time
"['Heavyweight', 'Heavyweight', 'Welterweight', 'Lightweight', 'Heavyweight', 'Light Heavyweight', 'Middleweight', 'Heavyweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'M-DEC', 'SUB']","[('3', '3:22'), ('2', '4:02'), ('2', '1:27'), ('1', '0:11'), ('2', '4:25'), ('2', '0:55'), ('3', '5:00'), ('1', '1:05')]"
"['Lightweight', 'Heavyweight', 'Middleweight', 'Light Heavyweight', 'Middleweight', 'Light Heavyweight', 'Welterweight', 'Middleweight']","['M-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'SUB']","[('5', '5:00'), ('3', '3:00'), ('2', '0:44'), ('3', '5:00'), ('2', '2:01'), ('3', '5:00'), ('3', '5:00'), ('2', '1:14')]"
"['Heavyweight', 'Heavyweight', 'Welterweight', 'Middleweight', 'Light Heavyweight', 'Heavyweight', 'Lightweight', 'Welterweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'U-DEC']","[('2', '4:35'), ('3', '1:45'), ('4', '3:01'), ('1', '3:09'), ('1', '2:06'), ('1', '0:46'), ('1', '2:58'), ('3', '5:00')]"
"['Middleweight', 'Heavyweight', 'Lightweight', 'Middleweight', 'Lightweight', 'Middleweight', 'Welterweight', 'Welterweight']","['SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'Overturned', 'U-DEC']","[('3', '1:33'), ('2', '3:25'), ('2', '3:23'), ('1', '2:59'), ('3', '5:00'), ('3', '2:27'), ('1', '0:27'), ('3', '5:00')]"
"['Light Heavyweight', 'Welterweight', 'Welterweight', 'Welterweight', 'Middleweight', 'Lightweight']","['U-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('1', '2:25'), ('2', '0:27'), ('2', '3:34'), ('1', '1:19')]"
"['Welterweight', 'Heavyweight', 'Middleweight', 'Lightweight', 'Light Heavyweight', 'Light Heavyweight', 'Light Heavyweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC']","[('4', '3:37'), ('1', '4:35'), ('1', '0:10'), ('2', '1:38'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00')]"
"['Heavyweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Heavyweight', 'Middleweight', 'Middleweight', 'Welterweight']","['KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('5', '3:04'), ('2', '1:43'), ('3', '5:00'), ('3', '5:00'), ('1', '5:00'), ('1', '0:18'), ('3', '5:00'), ('1', '4:16')]"
"['Light Heavyweight', 'Light Heavyweight', 'Welterweight', 'Welterweight', 'Welterweight', 'Heavyweight', 'Heavyweight', 'Middleweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB']","[('3', '5:00'), ('1', '2:55'), ('1', '5:00'), ('1', '1:45'), ('1', '1:29'), ('1', '1:18'), ('1', '4:10'), ('2', '4:50')]"
"['Heavyweight', 'Heavyweight', 'Lightweight', 'Middleweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Lightweight']","['KO/TKO', 'SUB', 'S-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'SUB']","[('1', '3:09'), ('1', '0:46'), ('5', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '4:49'), ('3', '4:07')]"
"['Welterweight', 'Welterweight', 'Welterweight', 'Heavyweight', 'Light Heavyweight', 'Lightweight', 'Lightweight', 'Middleweight']","['U-DEC', 'SUB', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO']","[('5', '5:00'), ('2', '2:28'), ('3', '5:00'), ('2', '1:46'), ('1', '2:40'), ('3', '5:00'), ('3', '5:00'), ('1', '3:55')]"
