Fighter,Elo,UFC Record,Unbeaten Streak,Avg. Opp. Elo,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Kelvin Gastelum,163.070,12-8-0,1,166.446,+ 16.2,- 17.4,- 12.5,+ 14.4,- 16.7
Robbie Lawler,163.021,14-10-0,0,164.052,- 18.0,+ 14.0,- 13.6,- 14.4,- 21.2
Said Nurmagomedov,162.821,6-2-0,0,133.294,- 16.0,+ 14.6,+ 15.3,+ 16.0,+ 15.2
Alex Pereira,162.796,4-1-0,0,201.708,- 12.4,+ 21.4,+ 20.5,+ 17.4,+ 16.0
Lerone Murphy,162.653,4-0-1,5,125.652,+ 13.8,+ 15.5,+ 16.0,+ 18.8,- 1.5
Martin Kampmann,162.646,11-6-0,0,133.029,- 17.5,- 15.2,+ 16.1,+ 17.0,+ 16.9
David Teymur,162.642,5-1-0,0,133.998,- 15.8,+ 16.9,+ 15.4,+ 14.9,+ 15.3
Mario Bautista,162.509,6-2-0,4,109.276,+ 13.3,+ 15.2,+ 16.7,+ 15.9,- 16.8
Drew Dober,162.504,12-8-0,0,117.306,- 18.8,+ 14.9,+ 13.7,+ 15.8,- 16.3
Paddy Pimblett,162.412,4-0-0,4,114.236,+ 16.3,+ 16.1,+ 14.6,+ 15.4,+ 0.0
Darren Elkins,161.953,17-10-0,0,125.172,- 17.4,+ 13.0,- 17.3,+ 13.6,+ 13.4
Vinc Pichel,161.933,7-3-0,0,126.415,- 17.5,+ 13.2,+ 17.0,+ 15.9,- 15.5
Oleg Taktarov,161.892,6-2-1,0,130.571,- 16.0,+ 16.0,+ 13.8,- 0.8,+ 16.0
Daniel Rodriguez,161.873,7-3-0,0,143.665,- 16.9,- 14.2,+ 16.4,+ 17.0,+ 13.9
Jordan Johnson,161.621,4-0-0,4,111.280,+ 13.8,+ 15.2,+ 15.9,+ 16.7,+ 0.0
Joe Solecki,161.320,5-1-0,2,120.853,+ 13.8,+ 13.8,- 16.8,+ 16.9,+ 15.3
Roman Dolidze,161.031,6-2-0,0,125.694,- 16.2,+ 16.9,+ 15.9,+ 14.8,+ 15.4
Urijah Faber,161.017,11-7-0,0,141.351,- 15.9,+ 15.5,+ 12.7,- 16.8,- 16.6
Mark Kerr,160.470,4-0-0,4,103.893,+ 14.6,+ 14.6,+ 16.0,+ 15.3,+ 0.0
Amanda Ribas,160.405,6-2-0,1,129.050,+ 15.3,- 14.7,+ 14.8,- 18.0,+ 15.0
Tracy Cortez,160.350,4-0-0,4,102.856,+ 15.4,+ 14.4,+ 15.3,+ 15.3,+ 0.0
Mateusz Gamrot,160.335,5-2-0,1,159.005,+ 17.0,- 11.3,+ 17.5,+ 18.3,+ 15.8
Marcos Rogerio de Lima,160.099,10-6-0,2,117.508,+ 15.1,+ 19.0,- 18.1,+ 16.8,+ 15.9
Thales Leites,160.018,13-8-0,1,131.941,+ 12.1,- 18.3,- 16.2,+ 15.9,- 17.1
Muhammad Mokaev,159.975,4-0-0,4,101.457,+ 13.9,+ 14.7,+ 15.3,+ 16.1,+ 0.0
Andre Petroski,159.906,4-0-0,4,100.517,+ 14.1,+ 16.1,+ 13.7,+ 16.0,+ 0.0
Kyung Ho Kang,159.698,7-3-0,1,112.778,+ 14.6,- 14.6,+ 14.5,+ 14.1,+ 14.3
Pedro Munhoz,159.672,10-7-0,1,150.656,+ 18.3,- 15.3,- 15.4,+ 16.4,- 13.9
Anthony Smith,159.605,11-8-0,0,154.087,- 17.7,- 15.4,+ 15.2,+ 15.4,+ 15.3
Ryan LaFlare,159.382,7-3-0,0,139.620,- 18.5,+ 14.7,- 16.5,+ 13.3,+ 17.2
