Weight class,Method,time
"['Heavyweight', 'Middleweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Light Heavyweight', 'Heavyweight', 'Light Heavyweight']","['KO/TKO', 'KO/TKO', 'U-DEC', 'DQ', 'S-DEC', 'KO/TKO', 'SUB', 'KO/TKO']","[('2', '4:24'), ('1', '1:56'), ('3', '5:00'), ('1', '2:55'), ('3', '5:00'), ('1', '1:07'), ('1', '1:59'), ('3', '2:39')]"
"['Lightweight', 'Welterweight', 'Lightweight', 'Welterweight', 'Light Heavyweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Light Heavyweight']","['KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC']","[('2', '2:46'), ('3', '2:04'), ('1', '2:45'), ('1', '3:52'), ('1', '3:35'), ('3', '5:00'), ('1', '1:54'), ('1', '1:59'), ('5', '5:00')]"
"['Lightweight', 'Middleweight', 'Heavyweight', 'Welterweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Welterweight']","['KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB']","[('2', '2:14'), ('1', '3:29'), ('3', '5:00'), ('3', '5:00'), ('1', '4:42'), ('1', '2:14'), ('3', '4:23'), ('1', '3:54')]"
"['Lightweight', 'Lightweight', 'Welterweight', 'Middleweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Light Heavyweight']","['U-DEC', 'M-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '1:45'), ('2', '4:21'), ('1', '4:39'), ('3', '5:00'), ('1', '0:49')]"
"['Lightweight', 'Heavyweight', 'Heavyweight', 'Welterweight', 'Heavyweight', 'Lightweight', 'Welterweight', 'Light Heavyweight']","['SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'S-DEC', 'SUB', 'KO/TKO']","[('1', '3:31'), ('1', '4:40'), ('1', '4:59'), ('2', '1:31'), ('2', '1:15'), ('3', '5:00'), ('2', '1:55'), ('2', '0:38')]"
"['Middleweight', 'Welterweight', 'Lightweight', 'Middleweight', 'Welterweight', 'Heavyweight', 'Welterweight', 'Heavyweight']","['SUB', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO']","[('2', '1:05'), ('1', '1:42'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '0:50'), ('1', '4:15'), ('1', '1:26')]"
"['Lightweight', 'Welterweight', 'Welterweight', 'Heavyweight', 'Middleweight', 'Light Heavyweight', 'Middleweight', 'Light Heavyweight']","['KO/TKO', 'S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('1', '4:32'), ('3', '5:00'), ('2', '1:17'), ('1', '1:14'), ('1', '0:24'), ('1', '4:05'), ('2', '3:39'), ('3', '5:00')]"
"['Light Heavyweight', 'Middleweight', 'Middleweight', 'Welterweight', 'Welterweight', 'Middleweight', 'Light Heavyweight']","['KO/TKO', 'SUB', 'SUB', 'KO/TKO', 'SUB', 'SUB', 'U-DEC']","[('2', '0:33'), ('1', '1:36'), ('1', '2:22'), ('2', '2:11'), ('1', '4:59'), ('3', '4:28'), ('3', '5:00')]"
"['Welterweight', 'Welterweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Light Heavyweight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'S-DEC']","[('1', '4:40'), ('3', '5:00'), ('1', '5:00'), ('1', '1:55'), ('1', '3:34'), ('1', '4:35'), ('1', '0:47'), ('3', '4:19'), ('3', '5:00')]"
"['Welterweight', 'Middleweight', 'Middleweight', 'Middleweight', 'Middleweight', 'Light Heavyweight', 'Middleweight', 'Light Heavyweight', 'Light Heavyweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('1', '1:40'), ('1', '0:20'), ('1', '3:17'), ('1', '4:21'), ('1', '1:35'), ('3', '5:00'), ('1', '2:49'), ('3', '5:00'), ('1', '2:42')]"
