Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Joe Stevenson,166.856,2009,8-8-0,132.535
Cody Stamann,166.853,2020,7-5-1,134.584
Iuri Alcantara,166.357,2017,10-7-0,109.339
Constantinos Philippou,166.302,2012,6-4-0,121.908
Umar Nurmagomedov,166.169,2023,4-0-0,136.732
Dustin Jacoby,166.024,2022,6-4-1,109.902
Renato Moicano,165.848,2018,9-5-0,140.260
Sean Sherk,165.771,2008,8-4-0,140.504
Abel Trujillo,165.354,2016,6-4-0,123.493
Jalin Turner,165.289,2022,6-3-0,117.223
Rashid Magomedov,165.253,2017,5-1-0,140.062
Casey Kenney,164.990,2020,5-3-0,136.525
Warlley Alves,164.722,2015,8-6-0,126.821
Louis Smolka,164.658,2016,8-9-0,109.365
Jeremiah Wells,164.614,2023,4-0-0,128.704
Brian Ebersole,164.607,2012,5-3-0,124.826
Kurt Pellegrino,164.344,2010,7-5-0,120.412
Mark Madsen,164.269,2022,4-1-0,138.328
Bryan Caraway,164.213,2016,6-4-0,131.193
Chris Daukaus,164.131,2021,4-3-0,155.113
Thiago Silva,164.094,2013,7-3-0,136.224
Caio Borralho,163.825,2023,4-0-0,123.050
Brad Riddell,163.555,2021,4-3-0,133.692
Edmen Shahbazyan,163.437,2019,5-4-0,127.924
Yves Edwards,163.370,2004,10-10-0,101.822
Hakeem Dawodu,163.054,2020,6-3-0,118.353
Vladimir Matyushenko,163.044,2011,7-5-0,129.022
Gabriel Gonzaga,163.010,2013,12-10-0,117.946
Mike Russow,162.934,2012,4-2-0,116.806
Scott Holtzman,162.885,2020,7-6-0,121.657
Amanda Ribas,162.872,2020,6-2-0,129.050
Albert Tumenov,162.864,2016,5-3-0,115.049
Ramazan Emeev,162.846,2021,5-3-0,125.856
Alan Patrick,162.800,2018,5-4-0,115.429
Marco Ruas,162.773,1995,4-2-0,122.396
Ben Saunders,162.742,2015,9-10-0,127.211
Misha Cirkunov,162.735,2016,6-7-0,128.346
Lerone Murphy,162.653,2023,4-0-1,125.652
Mario Bautista,162.509,2023,6-2-0,109.276
Paddy Pimblett,162.412,2022,4-0-0,114.236
