Fighter,Elo,UFC Record,Unbeaten Streak,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Lerone Murphy,162.653,4-0-1,5,+ 13.8,+ 15.5,+ 16.0,+ 18.8,- 1.5
Martin Kampmann,162.646,11-6-0,0,- 17.5,- 15.2,+ 16.1,+ 17.0,+ 16.9
David Teymur,162.642,5-1-0,0,- 15.8,+ 16.9,+ 15.4,+ 14.9,+ 15.3
Mario Bautista,162.509,6-2-0,4,+ 13.3,+ 15.2,+ 16.7,+ 15.9,- 16.8
Drew Dober,162.504,12-8-0,0,- 18.8,+ 14.9,+ 13.7,+ 15.8,- 16.3
Paddy Pimblett,162.412,4-0-0,4,+ 16.3,+ 16.1,+ 14.6,+ 15.4,+ 0.0
Darren Elkins,161.953,17-10-0,0,- 17.4,+ 13.0,- 17.3,+ 13.6,+ 13.4
Vinc Pichel,161.933,7-3-0,0,- 17.5,+ 13.2,+ 17.0,+ 15.9,- 15.5
Oleg Taktarov,161.892,6-2-1,0,- 16.0,+ 16.0,+ 13.8,- 0.8,+ 16.0
Daniel Rodriguez,161.873,7-3-0,0,- 16.9,- 14.2,+ 16.4,+ 17.0,+ 13.9
Jordan Johnson,161.621,4-0-0,4,+ 13.8,+ 15.2,+ 15.9,+ 16.7,+ 0.0
Joe Solecki,161.320,5-1-0,2,+ 13.8,+ 13.8,- 16.8,+ 16.9,+ 15.3
Roman Dolidze,161.031,6-2-0,0,- 16.2,+ 16.9,+ 15.9,+ 14.8,+ 15.4
Urijah Faber,161.017,11-7-0,0,- 15.9,+ 15.5,+ 12.7,- 16.8,- 16.6
Mark Kerr,160.470,4-0-0,4,+ 14.6,+ 14.6,+ 16.0,+ 15.3,+ 0.0
Tracy Cortez,160.350,4-0-0,4,+ 15.4,+ 14.4,+ 15.3,+ 15.3,+ 0.0
Mateusz Gamrot,160.335,5-2-0,1,+ 17.0,- 11.3,+ 17.5,+ 18.3,+ 15.8
Marcos Rogerio de Lima,160.099,10-6-0,2,+ 15.1,+ 19.0,- 18.1,+ 16.8,+ 15.9
Thales Leites,160.018,13-8-0,1,+ 12.1,- 18.3,- 16.2,+ 15.9,- 17.1
