Fighter,Elo,UFC Record,Unbeaten Streak,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Jimi Manuwa,104.431,6-6-0,0,- 14.6,- 13.5,- 18.0,- 17.5,+ 16.1
Rogerio Nogueira,104.289,6-7-0,0,- 14.9,- 17.0,+ 18.6,- 11.6,+ 16.3
Mike Pyle,104.099,10-9-0,0,- 16.8,- 16.9,- 17.1,+ 14.1,- 17.2
Modestas Bukauskas,103.976,3-3-0,2,+ 16.5,+ 18.7,- 16.1,- 16.0,- 15.2
Gary Goodridge,103.903,4-4-0,1,+ 17.3,- 12.7,- 16.0,+ 16.0,- 16.7
Miesha Tate,103.761,6-6-0,0,- 15.0,- 15.7,+ 14.2,- 15.5,- 15.7
Sultan Aliev,103.702,2-2-0,1,+ 15.8,- 14.0,+ 17.5,- 15.6,+ 0.0
Rich Clementi,103.589,5-5-0,0,- 16.9,- 15.4,+ 15.0,+ 15.9,+ 17.2
Alex Garcia,103.453,5-5-0,0,- 16.7,- 14.7,+ 15.1,- 15.6,+ 16.9
Wanderlei Silva,103.451,5-7-0,1,+ 18.2,- 11.7,+ 16.9,- 13.4,+ 20.9
Antonio Carvalho,103.370,2-2-0,0,- 14.0,+ 16.7,+ 17.4,- 16.7,+ 0.0
Gan McGee,103.370,2-2-0,0,- 15.3,+ 15.1,+ 19.5,- 16.0,+ 0.0
Siyar Bahadurzada,103.370,4-4-0,0,- 16.7,- 16.1,+ 15.0,+ 15.8,+ 16.7
Waylon Lowe,103.360,2-2-0,0,- 13.9,+ 15.9,+ 16.0,- 14.7,+ 0.0
Tim Elliott,103.298,8-10-0,2,+ 17.4,+ 18.9,- 13.0,+ 17.0,+ 18.0
Devin Clark,103.201,8-8-0,0,- 15.4,+ 18.0,- 16.0,+ 16.7,- 17.1
Roman Kopylov,103.184,2-2-0,2,+ 17.4,+ 16.2,- 15.3,- 15.1,+ 0.0
Buddy Roberts,103.093,1-1-0,0,- 12.9,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Dave Beneteau,102.984,3-3-0,1,+ 16.6,- 13.8,- 16.7,- 15.1,+ 16.0
Abus Magomedov,102.964,1-1-0,0,- 11.8,+ 14.8,+ 0.0,+ 0.0,+ 0.0
Amaury Bitetti,102.832,1-1-0,1,+ 16.6,- 13.8,+ 0.0,+ 0.0,+ 0.0
Shinsho Anzai,102.718,2-2-0,0,- 14.7,+ 16.6,+ 16.7,- 16.0,+ 0.0
Alessandro Costa,102.702,1-1-0,1,+ 16.6,- 13.9,+ 0.0,+ 0.0,+ 0.0
Chance Rencountre,102.689,2-2-0,0,- 16.6,+ 16.9,+ 16.7,- 14.2,+ 0.0
Mike van Arsdale,102.631,2-2-0,0,- 15.3,- 13.4,+ 15.3,+ 16.0,+ 0.0
Marcio Cruz,102.548,2-2-0,0,- 14.6,- 17.5,+ 18.7,+ 16.0,+ 0.0
TJ Waldburger,102.531,4-4-0,0,- 13.9,- 16.8,+ 15.2,- 15.3,+ 16.0
Mounir Lazzez,102.224,2-2-0,0,- 16.9,+ 15.9,- 14.9,+ 18.1,+ 0.0
Mike Wilkinson,102.050,2-2-0,0,- 15.4,+ 16.7,- 15.3,+ 16.0,+ 0.0
Justin Tafa,102.012,3-3-0,2,+ 17.3,+ 16.8,- 16.0,- 16.0,+ 16.0
Antoni Hardonk,101.996,4-4-0,0,- 16.9,- 15.1,+ 15.1,+ 17.3,+ 15.9
Tony Kelley,101.972,2-2-0,0,- 14.0,+ 16.0,+ 16.0,- 16.0,+ 0.0
Lucas Almeida,101.957,1-1-0,0,- 14.8,+ 16.7,+ 0.0,+ 0.0,+ 0.0
Dan Argueta,101.659,1-1-0,1,+ 16.7,- 15.0,+ 0.0,+ 0.0,+ 0.0
Joe Charles,101.641,2-2-0,0,- 15.3,+ 16.7,- 15.8,+ 16.0,+ 0.0
Joanne Wood,101.613,8-8-0,1,+ 17.3,- 14.3,- 15.0,- 15.6,+ 14.9
Travis Fulton,101.574,1-1-0,1,+ 16.7,- 15.1,+ 0.0,+ 0.0,+ 0.0
Brian Melancon,101.486,1-1-0,0,- 16.1,+ 17.6,+ 0.0,+ 0.0,+ 0.0
Ryan Janes,101.480,2-2-0,1,+ 17.4,- 15.9,- 16.0,+ 16.0,+ 0.0
Jonathan Meunier,101.480,1-1-0,1,+ 16.0,- 14.5,+ 0.0,+ 0.0,+ 0.0
Nick Thompson,101.476,1-1-0,0,- 14.5,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Jason Saggo,101.464,3-3-0,0,- 15.5,- 14.4,+ 16.2,+ 16.0,- 16.7
Ismael Bonfim,101.457,1-1-0,0,- 16.0,+ 17.4,+ 0.0,+ 0.0,+ 0.0
Geza Kalman,101.439,1-1-0,1,+ 16.7,- 15.3,+ 0.0,+ 0.0,+ 0.0
Dwayne Cason,101.371,1-1-0,0,- 14.6,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Miguel Torres,101.370,2-2-0,0,- 14.6,+ 16.0,- 16.0,+ 16.0,+ 0.0
Hunter Azure,101.362,2-2-0,0,- 15.4,+ 16.0,- 15.8,+ 16.6,+ 0.0
Brunno Ferreira,101.341,1-1-0,0,- 16.8,+ 18.2,+ 0.0,+ 0.0,+ 0.0
Jutaro Nakao,101.336,1-1-0,0,- 16.1,+ 17.4,+ 0.0,+ 0.0,+ 0.0
Abubakar Nurmagomedov,101.279,2-2-0,0,- 12.9,+ 15.3,+ 16.1,- 17.3,+ 0.0
Elise Reed,101.265,3-3-0,1,+ 15.2,- 14.8,+ 16.7,- 17.3,+ 17.5
Kamuela Kirk,101.247,1-1-0,0,- 16.6,+ 17.9,+ 0.0,+ 0.0,+ 0.0
Denise Gomes,101.238,1-1-0,1,+ 16.7,- 15.5,+ 0.0,+ 0.0,+ 0.0
Miguel Baeza,101.202,3-3-0,0,- 17.5,- 16.0,- 13.8,+ 15.3,+ 18.7
Chris Kelades,101.186,2-2-0,0,- 15.4,+ 16.6,- 16.7,+ 16.7,+ 0.0
Hector Sandoval,101.136,2-2-0,0,- 16.8,+ 15.2,+ 17.3,- 14.6,+ 0.0
Dan Christison,101.108,1-1-0,0,- 14.2,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Erik Koch,101.081,5-5-0,1,+ 15.9,- 15.1,- 15.7,+ 15.4,- 15.4
Pascal Krauss,101.077,2-2-0,0,- 16.0,+ 15.2,- 14.1,+ 16.0,+ 0.0
Benito Lopez,101.048,2-2-0,0,- 15.2,+ 16.1,- 15.4,+ 15.5,+ 0.0
Brianna Fortino,100.963,1-1-0,0,- 16.4,+ 17.4,+ 0.0,+ 0.0,+ 0.0
Justin McCully,100.959,2-2-0,0,- 16.8,+ 16.6,- 15.5,+ 16.7,+ 0.0
Paul Buentello,100.946,3-3-0,0,- 15.1,- 16.7,+ 15.2,- 14.4,+ 15.2
Nick Catone,100.920,4-4-0,1,+ 16.2,- 15.2,- 16.1,+ 16.0,+ 16.0
Dooho Choi,100.865,3-3-1,1,+ 0.7,- 17.5,- 16.5,- 14.5,+ 17.2
Stephanie Egger,100.862,3-3-0,0,- 16.8,+ 15.9,- 16.2,+ 17.2,+ 16.0
Montserrat Conejo,100.854,1-1-0,0,- 15.1,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Austin Lingo,100.832,2-2-0,0,- 15.8,+ 16.7,+ 16.0,- 16.0,+ 0.0
Joe Moreira,100.803,1-1-0,1,+ 16.7,- 15.9,+ 0.0,+ 0.0,+ 0.0
John Lewis,100.785,1-1-0,0,- 15.2,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Pete Rodriguez,100.770,1-1-0,1,+ 16.8,- 16.0,+ 0.0,+ 0.0,+ 0.0
Cristian Quinonez,100.743,1-1-0,0,- 13.9,+ 14.7,+ 0.0,+ 0.0,+ 0.0
Tai Bowden,100.736,1-1-0,1,+ 16.7,- 16.0,+ 0.0,+ 0.0,+ 0.0
Tereza Bleda,100.733,1-1-0,1,+ 16.0,- 15.2,+ 0.0,+ 0.0,+ 0.0
Benji Radach,100.707,1-1-0,0,- 15.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Gilbert Urbina,100.704,1-1-0,1,+ 16.7,- 16.0,+ 0.0,+ 0.0,+ 0.0
Lance Gibson,100.702,1-1-0,0,- 15.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Nick Sanzo,100.702,1-1-0,0,- 15.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Dan Cramer,100.669,1-1-0,0,- 15.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Junie Browning,100.642,1-1-0,0,- 15.4,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Eddie Yagin,100.632,1-1-0,1,+ 17.4,- 16.7,+ 0.0,+ 0.0,+ 0.0
Jose Torres,100.613,1-1-0,0,- 15.4,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Jesus Pinedo,100.594,1-1-0,0,- 14.7,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Lance Benoist,100.566,2-2-0,1,+ 14.5,- 15.8,- 16.0,+ 17.8,+ 0.0
Galore Bofando,100.558,1-1-0,0,- 14.7,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Noad Lahat,100.538,2-2-0,0,- 16.0,+ 16.0,+ 18.0,- 17.4,+ 0.0
Nicco Montano,100.525,1-1-0,0,- 14.7,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Dennis Hallman,100.507,4-5-0,1,+ 18.2,- 15.1,+ 20.2,+ 19.6,- 13.2
Polyana Viana,100.394,4-4-0,1,+ 16.0,- 15.9,+ 16.7,+ 17.6,- 17.3
Lavar Johnson,100.385,2-2-0,0,- 16.2,- 14.7,+ 15.4,+ 15.9,+ 0.0
Chris Barnett,100.358,2-2-0,1,+ 16.1,- 16.0,+ 14.9,- 14.7,+ 0.0
John Gunther,100.255,1-1-0,0,- 15.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Ange Loosa,100.206,1-1-0,1,+ 16.1,- 15.9,+ 0.0,+ 0.0,+ 0.0
Jarred Brooks,100.151,2-2-0,1,+ 16.8,- 16.0,- 15.9,+ 15.3,+ 0.0
Wesley Correira,100.144,2-2-0,0,- 15.8,+ 15.2,+ 16.7,- 16.0,+ 0.0
Lucas Alexander,100.140,1-1-0,1,+ 16.1,- 15.9,+ 0.0,+ 0.0,+ 0.0
Shamil Gamzatov,100.139,1-1-0,0,- 16.0,+ 16.1,+ 0.0,+ 0.0,+ 0.0
Tsuyoshi Kohsaka,100.116,3-3-0,0,- 14.5,- 15.1,+ 15.3,- 17.5,+ 16.2
Mike Perry,100.106,7-8-0,0,- 15.3,- 15.6,+ 17.3,- 14.4,- 13.2
Semmy Schilt,100.099,1-1-0,0,- 16.7,+ 16.8,+ 0.0,+ 0.0,+ 0.0
Sai Wang,100.037,1-1-0,1,+ 16.0,- 16.0,+ 0.0,+ 0.0,+ 0.0
Brad Kohler,100.034,1-1-0,1,+ 16.8,- 16.7,+ 0.0,+ 0.0,+ 0.0
Jack Nilson,100.034,1-1-0,1,+ 16.8,- 16.7,+ 0.0,+ 0.0,+ 0.0
Alex Oliveira,100.018,11-10-0,0,- 13.9,- 16.5,- 16.5,- 19.0,+ 13.5
Patrick Walsh,100.003,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Ken Stone,100.002,2-2-0,0,- 16.0,+ 16.0,+ 16.0,- 16.0,+ 0.0
Kevin Jackson,100.001,2-2-0,0,- 14.5,- 17.5,+ 16.0,+ 16.0,+ 0.0
Austen Lane,100.000,0-0-0,0,+ 0.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Loik Radzhabov,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Iasmin Lucindo,100.000,1-1-0,1,+ 16.0,- 16.0,+ 0.0,+ 0.0,+ 0.0
Hamdy Abdelwahab,100.000,0-0-0,0,+ 0.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Robert Drysdale,100.000,0-0-0,0,+ 0.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Pedro Nobre,100.000,0-0-0,0,+ 0.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Mackens Semerzier,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Nate Loughran,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Roman Mitichyan,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Anthony Torres,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Ron Faircloth,100.000,0-0-0,0,+ 0.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Mark Robinson,100.000,0-0-0,0,+ 0.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Steven Graham,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Todd Medina,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Orlando Wiet,100.000,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Kleydson Rodrigues,99.998,1-1-0,1,+ 16.8,- 16.8,+ 0.0,+ 0.0,+ 0.0
Joe Slick,99.995,1-1-0,0,- 16.8,+ 16.8,+ 0.0,+ 0.0,+ 0.0
Jarjis Danho,99.993,1-1-1,2,+ 15.9,+ 0.1,- 16.0,+ 0.0,+ 0.0
Kyle Watson,99.967,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Katsuhisa Fujii,99.965,1-1-0,0,- 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Chad Anheliger,99.924,1-1-0,0,- 15.4,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Jason DeLucia,99.900,2-2-0,0,- 16.8,- 14.6,+ 15.3,+ 16.0,+ 0.0
Keith Rockel,99.897,1-1-0,1,+ 16.8,- 16.9,+ 0.0,+ 0.0,+ 0.0
Antonina Shevchenko,99.865,4-4-0,1,+ 15.8,- 14.5,- 17.0,+ 16.2,- 14.6
Igor Araujo,99.854,2-2-0,0,- 16.0,- 16.8,+ 15.2,+ 17.4,+ 0.0
Viacheslav Borshchev,99.834,2-2-0,1,+ 16.7,- 15.1,- 17.1,+ 15.2,+ 0.0
James Wilks,99.820,2-2-0,0,- 16.0,+ 15.2,- 15.4,+ 16.0,+ 0.0
Danny Henry,99.804,2-2-0,0,- 14.7,- 16.7,+ 15.3,+ 16.0,+ 0.0
Claudio Ribeiro,99.754,1-1-0,1,+ 16.0,- 16.3,+ 0.0,+ 0.0,+ 0.0
Mark Godbeer,99.708,2-2-0,0,- 16.8,+ 15.0,+ 16.7,- 15.3,+ 0.0
Tomasz Drwal,99.695,3-3-0,0,- 17.5,- 16.1,+ 15.1,+ 16.7,+ 16.7
Viviane Pereira,99.673,2-2-0,0,- 16.1,- 16.8,+ 15.9,+ 16.6,+ 0.0
Dan Bobish,99.557,1-1-0,0,- 16.0,+ 15.6,+ 0.0,+ 0.0,+ 0.0
Paul Varelans,99.520,4-4-0,0,- 17.9,+ 15.9,- 14.5,- 16.0,+ 16.0
Akira Corassani,99.502,3-3-0,0,- 17.4,- 15.4,- 14.9,+ 14.6,+ 16.6
Chris Clements,99.471,2-2-0,0,- 15.2,+ 16.1,- 15.9,+ 14.5,+ 0.0
Bartosz Fabinski,99.436,3-3-0,0,- 17.0,- 16.8,- 13.5,+ 14.7,+ 15.9
Sirwan Kakai,99.431,1-1-0,0,- 15.1,+ 14.5,+ 0.0,+ 0.0,+ 0.0
Sam Adkins,99.430,2-2-0,0,- 15.9,+ 15.3,- 16.0,+ 16.0,+ 0.0
Daniel Zellhuber,99.400,1-1-0,1,+ 16.1,- 16.7,+ 0.0,+ 0.0,+ 0.0
Mike Nickels,99.383,1-1-0,0,- 16.6,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Inoue Mizuki,99.370,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Tony Fryklund,99.358,2-2-0,0,- 16.6,+ 16.0,- 16.0,+ 16.0,+ 0.0
Nick Maximov,99.334,2-2-0,0,- 16.6,- 16.1,+ 16.0,+ 16.0,+ 0.0
Troy Mandaloniz,99.333,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Mike Ciesnolevicz,99.330,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Nad Narimani,99.329,2-2-0,0,- 14.5,- 17.4,+ 15.3,+ 16.0,+ 0.0
Andrei Semenov,99.319,1-1-0,0,- 16.7,+ 16.1,+ 0.0,+ 0.0,+ 0.0
Nick Denis,99.298,1-1-0,0,- 16.0,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Scott Morris,99.298,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
CJ Vergara,99.286,2-2-0,1,+ 14.6,- 15.3,+ 16.8,- 16.8,+ 0.0
Kevin Ferguson,99.285,1-1-0,0,- 16.0,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Scott Bessac,99.274,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Joe Ellenberger,99.264,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Anying Wang,99.264,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
War Machine,99.264,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Dave Strasser,99.264,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Roberto Traven,99.264,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Nah-Shon Burrell,99.254,1-1-0,0,- 16.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Da'Mon Blackshear,99.210,1-1-1,1,+ 16.1,- 16.0,- 0.9,+ 0.0,+ 0.0
Rony Jason,99.183,4-4-0,0,- 16.0,- 14.1,- 16.8,+ 16.6,- 17.9
DeAnna Bennett,99.168,0-0-1,1,- 0.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Paul Jones,99.167,1-1-0,0,- 16.8,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Tony Gravely,99.156,4-4-0,0,- 16.5,- 16.8,+ 15.2,+ 15.9,- 15.3
Nick Ring,99.132,3-3-0,0,- 16.7,- 15.4,+ 16.6,- 16.6,+ 15.3
Danny Castillo,99.117,7-7-0,0,- 13.8,- 12.9,- 17.2,- 16.0,+ 13.3
Cheyanne Vlismas,99.067,2-2-0,0,- 16.0,+ 15.2,+ 15.9,- 16.0,+ 0.0
Ramiz Brahimaj,98.973,2-2-0,1,+ 16.0,- 16.3,+ 16.8,- 17.5,+ 0.0
Joe Duffy,98.858,4-4-0,0,- 16.6,- 17.8,- 14.0,+ 15.3,+ 14.7
Leah Letson,98.848,1-1-0,0,- 17.2,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Melissa Gatto,98.817,2-2-0,0,- 17.0,- 15.4,+ 15.9,+ 15.3,+ 0.0
Jimy Hettes,98.805,3-3-0,0,- 16.0,- 14.4,+ 15.4,- 15.9,+ 14.5
Andrea Lee,98.799,5-5-0,0,- 13.9,- 15.9,+ 17.2,+ 17.0,- 17.6
Impa Kasanganay,98.776,2-2-0,0,- 15.9,+ 16.8,- 17.4,+ 15.2,+ 0.0
Naoki Inoue,98.691,1-1-0,0,- 17.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Spencer Fisher,98.688,9-8-0,0,- 16.2,- 17.0,- 16.9,+ 14.4,- 18.2
Josh Quinlan,98.671,1-1-0,0,- 16.7,+ 15.4,+ 0.0,+ 0.0,+ 0.0
Francis Marshall,98.668,1-1-0,0,- 15.9,+ 14.6,+ 0.0,+ 0.0,+ 0.0
Jesse Taylor,98.657,1-1-0,1,+ 15.4,- 16.7,+ 0.0,+ 0.0,+ 0.0
Sedriques Dumas,98.623,1-1-0,1,+ 16.1,- 17.5,+ 0.0,+ 0.0,+ 0.0
Herbert Burns,98.598,2-2-0,0,- 16.4,- 18.4,+ 17.5,+ 16.0,+ 0.0
Tedd Williams,98.561,1-1-0,0,- 16.7,+ 15.2,+ 0.0,+ 0.0,+ 0.0
Pingyuan Liu,98.558,2-2-0,0,- 14.5,- 17.5,+ 15.3,+ 15.3,+ 0.0
Gokhan Saki,98.542,1-1-0,0,- 16.6,+ 15.1,+ 0.0,+ 0.0,+ 0.0
Ricardo Abreu,98.497,1-1-0,0,- 17.5,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Ariane Carnelossi,98.450,2-2-0,0,- 16.6,+ 16.0,+ 16.8,- 17.8,+ 0.0
Darren Uyenoyama,98.440,2-2-0,0,- 16.7,- 15.4,+ 15.3,+ 15.3,+ 0.0
Guangyou Ning,98.437,2-2-0,0,- 17.5,- 16.8,+ 16.7,+ 16.0,+ 0.0
Levan Makashvili,98.374,1-1-1,1,- 1.3,- 16.3,+ 16.0,+ 0.0,+ 0.0
Punahele Soriano,98.292,3-3-0,0,- 17.4,+ 15.1,- 16.0,- 15.2,+ 15.9
Themba Gorimbo,98.229,1-1-0,1,+ 15.6,- 17.4,+ 0.0,+ 0.0,+ 0.0
Marcelo Guimaraes,98.178,2-2-0,0,- 15.8,+ 15.4,- 16.7,+ 15.3,+ 0.0
Kanako Murata,98.167,1-1-0,0,- 16.5,+ 14.7,+ 0.0,+ 0.0,+ 0.0
Chidi Njokuani,98.134,2-2-0,0,- 16.7,- 16.0,+ 15.1,+ 15.6,+ 0.0
Mitch Gagnon,98.097,4-4-0,0,- 16.7,- 18.1,- 14.2,+ 14.5,+ 15.2
Alfonso Alcarez,98.033,0-0-1,1,- 2.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Victor Altamirano,98.004,2-2-0,0,- 17.4,+ 16.0,+ 15.3,- 16.0,+ 0.0
Trevor Peek,97.995,1-1-0,0,- 16.7,+ 14.7,+ 0.0,+ 0.0,+ 0.0
Raul Rosas Jr.,97.939,1-1-0,0,- 16.6,+ 14.5,+ 0.0,+ 0.0,+ 0.0
Diego Rivas,97.916,2-2-0,0,- 17.3,- 16.8,+ 16.0,+ 16.0,+ 0.0
CJ Fernandes,97.882,0-0-1,1,- 2.1,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Pablo Garza,97.829,3-3-0,0,- 15.9,+ 15.9,- 17.4,- 16.0,+ 15.3
Sijara Eubanks,97.752,5-5-0,0,- 15.9,+ 16.1,- 16.5,- 15.4,+ 16.8
Nicholas Musoke,97.437,3-3-0,0,- 16.7,- 16.7,+ 14.7,- 15.2,+ 16.0
Luke Jumeau,97.436,2-2-0,0,- 17.4,+ 16.8,- 16.6,+ 14.7,+ 0.0
Tiago dos Santos e Silva,97.405,2-2-0,0,- 16.6,+ 15.5,- 17.4,+ 16.0,+ 0.0
Ramsey Nijem,97.400,5-5-0,0,- 16.6,- 16.7,+ 16.1,+ 15.3,- 16.7
Ben Askren,97.397,1-2-0,0,- 10.1,- 13.7,+ 21.2,+ 0.0,+ 0.0
Antonio Rodrigo Nogueira,97.389,5-6-0,0,- 14.2,- 16.3,- 16.1,+ 14.0,- 13.5
Francisco Figueiredo,97.367,2-2-0,0,- 15.2,+ 15.4,- 18.1,+ 15.2,+ 0.0
Joe Stevenson,97.362,8-8-0,0,- 16.6,- 17.4,- 19.1,- 16.3,+ 16.9
Juliana Miller,97.361,1-1-0,0,- 18.6,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Jai Herbert,97.345,2-3-1,2,+ 2.6,+ 15.7,- 13.3,+ 17.1,- 14.0
Ivan Jorge,97.311,2-2-0,0,- 15.9,+ 15.4,- 16.0,+ 13.9,+ 0.0
Valerie Letourneau,97.282,3-3-0,0,- 16.6,- 16.7,- 15.3,+ 15.4,+ 14.5
Shonie Carter,97.274,3-3-0,0,- 17.4,- 16.7,- 14.4,+ 14.6,+ 15.3
Abu Azaitar,97.272,1-1-0,0,- 18.8,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Nate Marquardt,97.249,12-12-0,0,- 14.7,- 13.7,- 15.7,+ 15.0,- 16.4
David Branch,97.177,4-5-0,0,- 14.2,- 17.9,+ 19.1,- 13.9,+ 19.3
Eliot Marshall,97.150,3-3-0,0,- 15.4,- 17.4,- 16.6,+ 16.0,+ 14.5
Zhang Lipeng,97.124,2-2-0,0,- 17.4,- 16.7,+ 15.3,+ 16.0,+ 0.0
Roy Nelson,97.078,9-10-0,0,- 15.8,+ 14.9,- 13.8,+ 19.8,- 13.8
Brock Larson,97.036,3-3-0,0,- 17.4,- 17.5,+ 15.2,+ 16.0,+ 16.7
Eddie Sanchez,96.708,3-3-0,0,- 16.6,- 17.3,+ 15.3,+ 16.0,- 16.7
Brian Bowles,96.669,2-2-0,0,- 17.8,- 17.5,+ 16.0,+ 16.0,+ 0.0
Kendall Grove,96.665,6-6-0,0,- 16.5,- 13.8,+ 15.6,- 16.5,+ 15.6
David Dvorak,96.663,3-3-0,0,- 16.6,- 17.2,- 15.4,+ 14.6,+ 15.3
Luke Barnatt,96.647,3-3-0,0,- 15.1,- 18.1,- 17.4,+ 14.5,+ 16.8
Blake Bilder,96.635,1-1-0,0,- 18.7,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Mana Martinez,96.560,2-2-0,0,- 15.8,+ 13.7,- 16.0,+ 14.7,+ 0.0
Brad Katona,96.288,2-2-0,0,- 16.6,- 18.2,+ 15.0,+ 16.0,+ 0.0
Andrew Sanchez,96.237,5-5-0,0,- 15.9,- 15.9,+ 15.5,- 16.5,+ 15.4
Josh Thomson,96.236,3-4-0,0,- 11.6,- 14.9,- 13.1,+ 18.3,- 15.3
Trevor Prangley,96.197,2-2-0,0,- 17.3,- 17.1,+ 15.3,+ 15.3,+ 0.0
Shane Nelson,95.992,2-2-0,0,- 16.0,- 18.7,+ 14.7,+ 16.0,+ 0.0
Fredy Serrano,95.976,2-2-0,0,- 17.3,- 18.0,+ 15.3,+ 16.0,+ 0.0
Hugo Viana,95.905,3-3-0,0,- 17.3,- 16.6,+ 14.6,- 16.0,+ 15.3
Frankie Saenz,95.712,5-5-0,0,- 16.6,- 15.8,+ 14.1,+ 16.1,- 17.4
Julian Erosa,95.593,6-7-0,0,- 16.6,- 14.9,+ 18.5,+ 16.4,+ 17.3
Danilo Marques,95.539,2-2-0,0,- 16.6,- 16.6,+ 14.7,+ 13.9,+ 0.0
Joe Proctor,95.481,4-4-0,0,- 15.5,- 16.5,+ 14.0,- 17.8,+ 16.0
Ian Heinisch,95.476,3-4-0,0,- 16.6,- 14.4,+ 16.8,- 14.0,- 14.1
Chris Leben,95.432,12-10-0,0,- 18.0,- 16.6,- 18.2,- 15.7,+ 13.4
Aleksandra Albu,95.353,2-2-0,0,- 16.5,- 17.3,+ 13.2,+ 16.0,+ 0.0
Francimar Barroso,95.135,4-4-0,0,- 17.1,- 17.4,+ 15.3,- 15.9,+ 15.3
Rob Emerson,95.026,3-3-0,0,- 15.8,+ 14.7,- 18.0,- 16.5,+ 16.1
Mirko Filipovic,94.847,5-6-0,1,+ 18.5,- 15.4,- 14.8,- 13.7,+ 16.6
Jason Lambert,94.620,4-4-0,0,- 16.2,- 18.1,- 16.6,+ 16.4,- 15.9
Yves Jabouin,94.590,5-5-0,0,- 16.7,- 16.6,+ 15.3,- 17.7,+ 13.8
Roland Delorme,94.560,3-3-0,0,- 16.5,- 17.3,- 18.0,+ 14.4,+ 16.0
Thomas Almeida,94.321,5-5-0,0,- 14.3,- 16.4,- 16.5,- 15.6,+ 14.1
